protocol,model,rmse_usd,mae_usd,mape,r2,directional_accuracy
Balancer,persistence,12253966.129317526,9787073.911399174,0.03065947269909846,0.8925521754504122,0.6086956521739131
Balancer,ma7,22859951.24261615,18418181.790535655,0.056854603207045315,0.6260660688191569,0.5797101449275363
Balancer,ElasticNet,6814684.215980322,4287363.852203943,0.012975127667638614,0.9667695863245185,0.9420289855072463
Balancer,RandomForest,14765858.205644008,11477963.444391945,0.03487298337074145,0.843986685669008,0.8405797101449275
Curve,persistence,70571848.54132622,54912654.68459169,0.031439075861347435,0.8800478707108377,0.5507246376811594
Curve,ma7,130027175.41009682,105462772.12563235,0.05925920908546093,0.5927948783670185,0.5217391304347826
Curve,ElasticNet,32917361.745171797,22526859.04758094,0.011914328276122307,0.973902733819809,0.9130434782608695
Curve,RandomForest,137971350.25350827,101904016.6039902,0.05506994988702944,0.5415174574291514,0.8260869565217391
PancakeSwap,persistence,81069503.9973834,62283820.26274556,0.037606135992781176,0.8894403505979848,0.5507246376811594
PancakeSwap,ma7,160489746.07548785,126918916.80397096,0.07703944894601844,0.5667124594066856,0.6231884057971014
PancakeSwap,ElasticNet,16839756.802125826,14415263.150923004,0.0087973487826712,0.9952296169702836,0.9710144927536232
PancakeSwap,RandomForest,133425100.93937938,91339508.19484688,0.0522200420993818,0.7005276703413845,0.8840579710144928
SushiSwap,persistence,15930710.237360701,12869375.745087335,0.034385435011718056,0.7405744724329482,0.4492753623188406
SushiSwap,ma7,23645232.490061488,18999502.694841433,0.05095489988981167,0.4284824001822297,0.5072463768115942
SushiSwap,ElasticNet,2491665.087298218,1741920.0285461273,0.004454586962890604,0.9936536829346108,0.9710144927536232
SushiSwap,RandomForest,3735730.9441893743,2523386.838632088,0.00681694404429703,0.985734282763906,0.9420289855072463
Uniswap,persistence,108718388.55531457,86018555.61178938,0.021828455411000498,0.580075912368641,0.5072463768115942
Uniswap,ma7,136160671.3305837,113082761.78798367,0.028990631971150694,0.3413296075247677,0.463768115942029
Uniswap,ElasticNet,34074467.44972714,25718944.331157003,0.006588189091531272,0.9587500973380723,0.9710144927536232
Uniswap,RandomForest,23303785.94336593,13829657.022719683,0.0036117306025243642,0.9807062014792898,0.927536231884058
